Symbol,Percentage Change
KPRMILL.NS,0.06915479747395788
KNRCON.NS,6.6698392803204065
KPITTECH.NS,5.128804476212044
KSB.NS,6.836802102535241
KPIL.NS,13.06762218488305
KANSAINER.NS,2.107082742892786
KARURVYSYA.NS,7.63620643762465
KAYNES.NS,5.724594869239927
KEC.NS,6.237082620053661
KFINTECH.NS,18.209630386989296
KIMS.NS,2.3018060796356954
L&TFH.NS,3.109367466949982
LTTS.NS,1.6514392339126815
LICHSGFIN.NS,9.62249565560795
LAXMIMACH.NS,0.28332046913147696
LATENTVIEW.NS,4.88892154130053
LEMONTREE.NS,3.8487302658807816
LICI.NS,13.033165970817825
LUPIN.NS,10.03761133093776
MMTC.NS,30.042688374589428
MRF.NS,4.063636248317801
LODHA.NS,3.075850254095532
MGL.NS,13.04484508944968
