Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA,Declined Percentage,Positive Incline Percentage
BSE.NS,2469.35009765625,2282.26802734375,2307.728426846591,1337.2553326416016,2251.218572979396,1552.7061457727007,72.57201153110573%,44.98677545061704%,Positive,-7.003496118930593%,7.003496118930593%
BAJFINANCE.NS,6598.14990234375,7271.311953125,7312.960182883523,7231.3151953125,7230.5742789123915,7138.594572458658,1.1290475572679683%,1.2884848063594947%,Negative,9.774568200341562%,-9.774568200341562%
BAJAJFINSV.NS,1597.050048828125,1637.812001953125,1661.8875038840554,1556.8636346435546,1637.582636016563,1561.6436358707745,6.74586180211898%,4.862761157634069%,Negative,3.901434658146023%,-3.901434658146023%
BERGEPAINT.NS,555.7999877929688,579.7019970703125,581.9272682883523,566.2409957885742,577.2478301119297,560.4925754834567,2.770246699981976%,2.9893802989309326%,Negative,4.489784534798103%,-4.489784534798103%
BLUEDART.NS,6132.2998046875,6950.4719921875,7122.780672940341,6698.329594726562,6911.034739345367,6749.276702923431,6.336670541681601%,2.3966721700989178%,Negative,13.905817316763772%,-13.905817316763772%
MAPMYINDIA.NS,1864.949951171875,1962.9020068359375,2016.656827059659,1670.7776727294922,1989.2774343409048,1748.626317846885,20.70168640481746%,13.762295239290337%,Negative,7.52269170699592%,-7.52269170699592%
CCL.NS,645.1500244140625,640.762001953125,640.9454567649148,631.7444302368164,641.7546795843663,624.3796310262842,1.4564475898345932%,2.782769919883991%,Positive,-0.655994609957879%,0.655994609957879%
CRISIL.NS,4272.9501953125,4081.50400390625,4161.528409090909,3925.715889892578,4121.473166062695,3908.4822607062547,6.006866666165787%,5.4494530395528304%,Positive,-2.677424620679959%,2.677424620679959%
CSBBANK.NS,380.70001220703125,388.952001953125,394.6909096457741,330.8975,384.9274427083242,339.8367471444678,19.27890348091906%,13.268340149421192%,Negative,3.544773162194027%,-3.544773162194027%
CANFINHOME.NS,818.0999755859375,775.392001953125,776.5366099964489,744.5356396484375,776.024744260875,734.4307011035748,4.298111284924108%,5.663440144155169%,Positive,-5.352402585330612%,5.352402585330612%
CDSL.NS,1850.3499755859375,1827.726015625,1847.5363714044745,1369.3590188598632,1799.5575270917122,1469.4314733057345,34.91979429490629%,22.466243563117878%,Positive,-0.1522895151083894%,0.1522895151083894%
CUB.NS,132.85000610351562,145.18799865722656,149.2159080505371,135.9327693939209,145.11248279061158,140.96679201128651,9.771844357943507%,2.9408988600614108%,Negative,10.967933755078317%,-10.967933755078317%
COROMANDEL.NS,1108.8499755859375,1158.085986328125,1191.4124950062144,1068.9059020996094,1155.7910799822714,1084.374887769881,11.460933339966607%,6.585931951934489%,Negative,6.929801371593491%,-6.929801371593491%
CRAFTSMAN.NS,4130.75,4737.40396484375,4961.681795987216,4471.882952880859,4795.454730933366,4507.770886561447,10.952854720645593%,6.381953555571361%,Negative,16.746978749407834%,-16.746978749407834%
CREDITACC.NS,1619.0999755859375,1642.6660009765626,1658.2022788307884,1417.966749572754,1630.7780886095854,1435.3461432515371,16.942254064167546%,13.615666595608072%,Negative,2.358114190533028%,-2.358114190533028%
DALBHARAT.NS,2189.75,2258.31,2283.8329467773438,2156.566087036133,2249.0454155805132,2156.087824866912,5.901366088721138%,4.311400938379646%,Negative,4.119519639564781%,-4.119519639564781%
DEEPAKFERT.NS,537.9500122070312,637.7580029296874,650.8977286598899,604.1416131591797,633.0937284460042,623.0576685688726,7.73926418612567%,1.6107754359534414%,Negative,17.352605713558518%,-17.352605713558518%
DIXON.NS,6358.5498046875,6215.98806640625,6257.4409512606535,4886.48222290039,6096.354340087515,5056.289276296003,28.056148898594074%,20.5697302301781%,Positive,-1.6158179392244467%,1.6158179392244467%
LALPATHLAB.NS,2513.10009765625,2487.020009765625,2526.8852317116475,2333.277259521484,2505.4220682370837,2364.6458038530423,8.2976839293359%,5.953376364217228%,Negative,0.5455385896596429%,-0.5455385896596429%
EPL.NS,191.5,197.50999938964844,198.67954462224787,195.92567092895507,197.13576394996034,190.74045994746237,1.4055706331057505%,3.3528827623984396%,Negative,3.6136305002603266%,-3.6136305002603266%
EICHERMOT.NS,3944.60009765625,3800.618017578125,3907.6556784889913,3552.9059228515625,3821.2529693134093,3588.2488234975162,9.984777625429118%,6.493533678324477%,Positive,-0.9454369117174715%,0.9454369117174715%
