Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA,Declined Percentage,Positive Incline Percentage
DALMIASUG.NS,409.29998779296875,400.57200317382814,403.9147741144354,398.77932403564455,407.75863596677283,399.2854376080905,1.2877924629642525%,2.1220905048380487%,Positive,-1.3332549398174922%,1.3332549398174922%
DATAMATICS.NS,706.25,711.88400390625,720.6204556551846,585.7068782043457,698.0806744477812,587.1405580958854,23.034316732706923%,18.89498431375241%,Negative,1.9941781477905842%,-1.9941781477905842%
DHANI.NS,41.599998474121094,39.52000015258789,39.88750006935813,38.96399996757507,39.61718659562628,38.722727845275855,2.370136799485622%,2.309906352477043%,Positive,-4.293320969690238%,4.293320969690238%
DIVGIITTS.NS,850.75,959.4780029296875,974.3034113103694,926.982569885254,970.2125194393619,918.285240443664,5.104825372387854%,5.654809280241684%,Negative,12.681204835791219%,-12.681204835791219%
ESABINDIA.NS,5581.9501953125,5635.16599609375,5725.1818292791195,4924.1307421875,5664.115581780836,5104.40502366853,16.267867955426382%,10.965245812528464%,Negative,2.501783143971418%,-2.501783143971418%
EDELWEISS.NS,68.30000305175781,73.9579995727539,75.57954528115012,60.39933280944824,72.57996331937856,64.40504295793822,25.133079730521867%,12.692981769733832%,Negative,9.63163009556748%,-9.63163009556748%
FCL.NS,323.95001220703125,338.66400024414065,348.55340922962534,309.7884412384033,338.7300285759582,311.53283416271444,12.513368102520564%,8.730121332584357%,Negative,7.058716504013734%,-7.058716504013734%
GABRIEL.NS,383.04998779296875,385.6439990234375,395.6727281050249,287.33614097595216,385.0131279686192,309.790196850349,37.703780234919925%,24.281895257843907%,Negative,3.1901972047731384%,-3.1901972047731384%
GOKEX.NS,926.5999755859375,888.3419970703125,889.2931782115589,676.4163296508789,888.6983404398492,719.6010721012203,31.471275785218396%,23.498751585356633%,Positive,-4.195106663182278%,4.195106663182278%
GRAVITA.NS,895.2000122070312,986.6439990234375,1021.6340886896306,814.065817565918,992.7297381480882,853.3592276174845,25.497725938714417%,16.331986110903824%,Negative,12.375671278232932%,-12.375671278232932%
GREENLAM.NS,529.9000244140625,533.3459985351562,543.3863594748757,456.5126490783691,533.5817362353481,467.2149889739973,19.029858334022425%,14.20475558951821%,Negative,2.4819053378237683%,-2.4819053378237683%
HCG.NS,360.0,362.3919958496094,363.38977120139384,339.16350051879886,362.3250474104661,342.37076441943356,7.142947470921092%,5.828267207589845%,Negative,0.9328196526245095%,-0.9328196526245095%
IOLCP.NS,443.1499938964844,454.9219982910156,455.69886155561966,432.6252490234375,450.91953936833835,423.4392047264057,5.333394799371069%,6.489794599838329%,Negative,2.753763223436021%,-2.753763223436021%
ICIL.NS,262.54998779296875,281.6439990234375,288.4647709239613,234.5896881866455,281.35628589557774,240.4608801400431,22.965665351177496%,17.00709310043172%,Negative,8.98369081534175%,-8.98369081534175%
INDOCO.NS,361.8500061035156,377.03200073242186,385.3284093683416,343.07199661254884,373.9569835315936,351.5228168102458,12.317068479219365%,6.381994467647295%,Negative,6.09308908816599%,-6.09308908816599%
IONEXCHANG.NS,519.0499877929688,546.937998046875,563.2977253306996,500.0087434387207,551.0725174480151,500.6138776817291,12.65757503693239%,10.079352973583697%,Negative,7.855124483549787%,-7.855124483549787%
JISLJALEQS.NS,66.69999694824219,62.25800033569336,63.429545575922184,54.09425004959107,63.2429901287571,55.06936966519311,17.25746362649072%,14.842407881654351%,Positive,-5.156037841080584%,5.156037841080584%
KKCL.NS,753.25,755.3609008789062,761.8954384543679,664.5556620788574,759.2365417848134,676.8776834783089,14.647347382612471%,12.16746545450908%,Negative,1.1347276828309396%,-1.1347276828309396%
KIRLOSBROS.NS,930.3499755859375,903.3499975585937,911.8056807084517,776.6737162780762,905.6967203409806,780.5668763813072,17.398807452625782%,16.030637187651735%,Positive,-2.033799006722273%,2.033799006722273%
KRSNAA.NS,712.6500244140625,704.066005859375,704.2647774436257,614.0713815307618,697.8772187370432,619.7478218261443,14.687770611948917%,12.606643244131686%,Positive,-1.1906384131368863%,1.1906384131368863%
MAITHANALL.NS,1121.25,1141.320009765625,1155.2090953480113,1050.5507876586914,1128.0674531003688,1068.4977403525215,9.962232089946497%,5.575090194219207%,Negative,2.939649236208701%,-2.939649236208701%
