Title,Description,Date,Source,Source_Link
"New highs for Nikkei, nervous new year break for China","Japan’s Nikkei, which has been receiving a gush of foreign inflows as investors flee China, rose 0.3%, aided by a retreating yen that traded at its weakest in more than two months at 149.49 per dollar.","05:53 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=New+highs+for+Nikkei%2C+nervous+new+year+break+for+China&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fmarkets%2Fnew-highs-for-nikkei-nervous-new-year-break-for-china-12235781.html
Ashish Kacholia buys stake in recently listed multibagger,"Shares of Megatherm Induction listed with a massive premium of 108% earlier this week. Post the debut, the stock jumped further and is currently trading at Rs 252 apiece, up nearly 133% over the issue price.","05:43 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Ashish+Kacholia+buys+stake+in+recently+listed+multibagger+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fnews%2Fashish-kacholia-buys-stake-in-recently-listed-multibagger%2Farticleshow%2F107558852.cms
Paytm set for small win as India close to approving investment,Paytm’s billionaire founder Vijay Shekhar Sharma acquired 10.3% stake from Ant last year in a cashless deal that made him the biggest shareholder in One97 with just over 24% equity.,"05:43 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Paytm+set+for+small+win+as+India+close+to+approving+investment&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fpaytm-set-for-small-win-as-india-close-to-approving-investment-12235721.html
Forex reserves jump to $622.469 billion,"Special Drawing Rights (SDRs) were down by USD 58 million to USD 18.19 billion, the central bank said.","05:40 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Forex+reserves+jump+to+%24622.469+billion&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fforex-reserves-jump-to-622-469-billion-12235751.html
Chhattisgarh: Rs 1.47 lakh crore budget presented in Assembly; no new taxes proposed,"A provision of Rs 500 crore has been made for Deendayal Upadhyay Bhoomiheen Krishi Majdoor Yojana under which landless labourers will be provided annual assistance of Rs 10,000, up from Rs 7,000 last year, he said.","05:38 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Chhattisgarh%3A+Rs+1.47+lakh+crore+budget+presented+in+Assembly%3B+no+new+taxes+proposed&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fbudget%2Fchhattisgarh-rs-1-47-lakh-crore-budget-presented-in-assembly-no-new-taxes-proposed-12235301.html
"Parliamentary panel criticises govt for delay in bringing DPDP rules, Digital India Bill","In its report, the Parliamentary Standing Committee on Communications and IT has urged the government to finalise the draft of the DPDP Rules and Digital India Bill, without further delay","05:37 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Parliamentary+panel+criticises+govt+for+delay+in+bringing+DPDP+rules%2C+Digital+India+Bill&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fparliamentary-panel-criticises-govt-for-delay-in-bringing-dpdp-rules-digital-india-bill-12233481.html
"LIC's VNB Margin At 20% Is Sustainable, Says Chairman Siddhartha Mohanty","Digitisation over the next two years will help improve expense ratio, increase customer acquisition through technology and grow agent business, he said.","05:36 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=LIC%27s+VNB+Margin+At+20%25+Is+Sustainable%2C+Says+Chairman+Siddhartha+Mohanty&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fbusiness%2Flics-vnb-margin-at-20-is-sustainable-says-chairman-siddhartha-mohanty
Israeli bombs target Gaza's crowded Rafah as the US warns Israel against sending troops there,"U.S. President Joe Biden said Thursday that Israel’s conduct in the war, ignited by a deadly October 7 Hamas attack, is ""over the top,"" the harshest U.S. criticism yet of its close ally and an expression of concern about a soaring civilian death toll in Gaza.","05:32 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Israeli+bombs+target+Gaza%27s+crowded+Rafah+as+the+US+warns+Israel+against+sending+troops+there&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fworld%2Fisraeli-bombs-target-gazas-crowded-rafah-as-the-us-warns-israel-against-sending-troops-there-12235711.html
"Trent, NTPC among 5 stocks with top long unwinding",,"05:27 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Trent%2C+NTPC+among+5+stocks+with+top+long+unwinding+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fnews%2Ftrent-ntpc-among-5-stocks-with-top-long-unwinding%2Fslideshow%2F107558590.cms
Tata Power Q3 Results: Profit flat at Rs 953 crore; revenue up 4% YoY,"Revenue from operations increased 4% YoY to Rs 14,651 crore in the reporting period as against Rs 14,129 crore in the corresponding quarter of previous year.","05:23 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Tata+Power+Q3+Results%3A+Profit+flat+at+Rs+953+crore%3B+revenue+up+4%25+YoY+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fearnings%2Ftata-power-q3-results-profit-flat-at-rs-953-crore-revenue-up-4-yoy%2Farticleshow%2F107558253.cms
Stock market update: Nifty Bank index  advances  1.38%,The Nifty Bank index closed 1.38 per cent  up  at 45634.55.,"05:22 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Stock+market+update%3A+Nifty+Bank+index++advances++1.38%25+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fstock-watch%2Fstock-market-update-nifty-bank-index-advances-1-38%2Farticleshow%2F107558316.cms
Stock market update: Stocks that hit 52-week lows on NSE in today's trade,"M&M,  ONGC,  Bharti Airtel,  NTPC and  Hindalco were among the top losers on NSE in today's trade.","05:17 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Stock+market+update%3A+Stocks+that+hit+52-week+lows+on+NSE+in+today%27s+trade+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fstock-watch%2Fstock-market-update-stocks-that-hit-52-week-lows-on-nse-in-todays-trade%2Farticleshow%2F107558165.cms
Paytm fiasco highlights need for firms to address security vulnerabilities: CAIT,"Such an unprecedented event in the fintech ecosystem of the country will not shatter the confidence of traders and others in the digital payment system built over the years, CAIT National President BC Bhartia said","05:13 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Paytm+fiasco+highlights+need+for+firms+to+address+security+vulnerabilities%3A+CAIT&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Feconomy%2Fpaytm-fiasco-highlights-need-for-firms-to-address-security-vulnerabilities-cait-12235271.html
