Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA,Declined Percentage,Positive Incline Percentage
COCHINSHIP.NS,902.4500122070312,855.2399951171875,861.5130046497692,557.796216583252,832.412250946789,607.3454492371218,54.44941701593399%,37.057460789797716%,Positive,-4.75175735436567%,4.75175735436567%
CREDITACC.NS,1381.300048828125,1436.2739990234375,1508.6079573197799,1475.0280004882814,1484.8638578555012,1441.6909305884808,2.2765640259291677%,2.994603513902787%,Negative,8.438766869414662%,-8.438766869414662%
CYIENT.NS,1963.0,2006.519990234375,2057.1204528808594,1790.2215582275392,2035.247488091833,1802.0025945010702,14.908707440523239%,12.94364915469739%,Negative,4.575349622772453%,-4.575349622772453%
EASEMYTRIP.NS,43.75,46.65999969482422,47.377272605895996,42.60110809326172,45.996514788837494,43.48767197775483,11.211362160294904%,5.769089714358611%,Negative,7.656144827223739%,-7.656144827223739%
EQUITASBNK.NS,92.80000305175781,98.59600036621094,101.22272751548074,95.4424549484253,99.45906397021585,94.17654989579341,6.056290746271103%,5.609160752084836%,Negative,8.32098153296134%,-8.32098153296134%
EXIDEIND.NS,307.20001220703125,319.4619982910156,324.4249995838512,278.6699550628662,317.5557791479874,280.633083071549,16.419080596852627%,13.156929208886165%,Negative,5.309389658292341%,-5.309389658292341%
FINCABLES.NS,889.7999877929688,925.0119946289062,988.4613591974431,985.5279013061523,957.1172966724218,968.7959841205106,0.29765345936964266%,-1.2054847088049094%,Negative,9.98130786666057%,-9.98130786666057%
GNFC.NS,624.4000244140625,638.5839965820312,667.7522693980824,639.7019435119629,658.036385135136,643.1448442894987,4.384905528365793%,2.315425673992375%,Negative,6.492264717137982%,-6.492264717137982%
HINDCOPPER.NS,268.8500061035156,263.96600036621095,269.05909104780716,184.0288224029541,261.02759461961875,198.8833185241398,46.204864832894856%,31.246600547816218%,Negative,0.0777096746581895%,-0.0777096746581895%
IRB.NS,59.400001525878906,61.23,61.355058843439274,38.75120187759399,57.89778223746495,43.01948670448006,58.33072490821212%,34.58501407790034%,Negative,3.1864647421317285%,-3.1864647421317285%
IEX.NS,135.85000610351562,142.4260009765625,142.48747634887695,136.47654392242433,143.00198354843283,141.13732838133947,4.404370343572992%,1.3211637123066702%,Negative,4.658283250879994%,-4.658283250879994%
JBCHEPHARM.NS,1624.699951171875,1602.62400390625,1637.1137889515269,1433.2815661621094,1607.977504491229,1446.2790088976515,14.221366380593173%,11.180311309145218%,Negative,0.7582758060820075%,-0.7582758060820075%
JKLAKSHMI.NS,855.9000244140625,895.9363452148438,901.0536623868076,766.2397747802735,880.658835389832,804.6849197310445,17.594216855317026%,9.441448919433064%,Negative,5.011204088903791%,-5.011204088903791%
JYOTHYLAB.NS,424.25,442.79400146484375,467.23977453058416,379.1526473236084,450.38188390276616,390.1105961315217,23.232628818174394%,15.44979510141905%,Negative,9.200795153574875%,-9.200795153574875%
KARURVYSYA.NS,182.35000610351562,180.4380017089844,182.27159188010475,147.75599464416504,178.12851437424334,152.00061723937125,23.35986253489225%,17.18933620757984%,Positive,-0.04302054017416703%,0.04302054017416703%
LATENTVIEW.NS,467.79998779296875,488.99999755859375,489.3431798761541,430.7437501525879,480.0045647670814,437.53851739421566,13.604243753463122%,9.70567062890247%,Negative,4.402471101903914%,-4.402471101903914%
MGL.NS,1339.5,1415.972001953125,1416.5739662863991,1142.1400790405273,1363.3007743731991,1185.7522844786638,24.02804106799354%,14.97348916958634%,Negative,5.440871293749057%,-5.440871293749057%
MANAPPURAM.NS,172.89999389648438,175.21599975585937,177.13229612870649,150.85006492614747,173.53598561665723,154.85874742081924,17.422751004731857%,12.060822205337699%,Negative,2.3893453225192025%,-2.3893453225192025%
NBCC.NS,115.05000305175781,127.2460009765625,129.18068209561434,74.6750347328186,119.85574855837233,84.17293878376464,72.99045465169539%,42.39225847427609%,Negative,10.938693630211343%,-10.938693630211343%
NLCINDIA.NS,214.10000610351562,226.72999938964844,235.57377763227984,164.47703922271728,224.71496052533593,175.87707775718343,43.2259352098933%,27.768190938206438%,Negative,9.11551860508168%,-9.11551860508168%
NSLNISP.NS,56.400001525878906,59.29800033569336,60.78068187020042,50.41275011062622,57.901755378426714,50.42742544963643,20.56609039741476%,14.82195424839832%,Negative,7.207356366413641%,-7.207356366413641%
PNBHOUSING.NS,640.1500244140625,685.1880004882812,739.8159082586116,703.6565002441406,712.0575690812983,687.7784519277035,5.138786894162861%,3.530078193863938%,Negative,13.471714075349356%,-13.471714075349356%
