Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA,Declined Percentage,Positive Incline Percentage,52 Week High,52 Week Low
GODREJIND.NS,871.4500122070312,787.087998046875,801.4931820956143,658.9410009765625,794.5291511692486,685.2155904248572,21.63352726690052%,15.95316310252271%,Positive,-8.728312563870496%,8.728312563870496%,,
FLUOROCHEM.NS,3250.949951171875,3276.67603515625,3402.4795643199573,3109.947697753906,3328.8161196765077,3220.877083982269,9.406327533332027%,3.35123113610978%,Negative,4.453505459286072%,-4.453505459286072%,,
GUJGASLTD.NS,557.3499755859375,550.1719970703125,559.4034049294212,479.67231994628906,546.6595983119814,497.70978974984644,16.621989985175702%,9.835010194743731%,Negative,0.36707487394410165%,-0.36707487394410165%,,
HDFCAMC.NS,3703.89990234375,3738.39001953125,3741.5579667524858,2971.1502557373046,3676.316506572661,3053.75690235714,25.92961125165314%,20.38667857729535%,Negative,1.0064808495115034%,-1.0064808495115034%,,
HINDPETRO.NS,458.8500061035156,482.82599975585936,503.362885908647,347.3249942779541,476.76398791549076,376.6881352953806,44.925615547788745%,26.567296190955286%,Negative,8.843099293023723%,-8.843099293023723%,,
HINDZINC.NS,398.3999938964844,311.27800048828124,311.33522727272725,309.0243814086914,314.6128925160357,308.74778192936685,0.7477875543353039%,1.8996446063572412%,Positive,-27.964958346165258%,27.964958346165258%,,
ISEC.NS,728.7000122070312,749.7719995117187,774.664775501598,677.4674029541015,754.1249190889872,681.1804235408889,14.347165948304907%,10.708542557479957%,Negative,5.933503722923818%,-5.933503722923818%,,
IDBI.NS,88.4000015258789,83.84200012207032,86.32045468417081,69.53144256591797,83.48995006355138,71.21602438946141,24.14592808474574%,17.23478076642856%,Positive,-2.4091008896057575%,2.4091008896057575%,,
INDIANB.NS,527.1500244140625,516.7040075683594,522.6170529452237,424.01649963378907,510.0319268417936,434.4590594298865,23.25394256982761%,17.394704005269602%,Positive,-0.8673600379652973%,0.8673600379652973%,,
JKCEMENT.NS,4321.64990234375,4234.3740234375,4256.800026633523,3633.082033691406,4204.117383543589,3738.7378240103567,17.167737671708608%,12.44750451728769%,Positive,-1.5234419118699674%,1.5234419118699674%,,
KPITTECH.NS,1497.5,1463.00400390625,1533.9001353870738,1320.8267343139648,1495.012257041245,1341.451860135589,16.13182074057419%,11.447328187396506%,Negative,2.373044668770978%,-2.373044668770978%,,
L&TFH.NS,166.64999389648438,160.18400024414063,164.98295523903587,144.94509449005128,162.90611714624558,144.96814824076208,13.824449057404944%,12.37373114243844%,Positive,-1.010430838163378%,1.010430838163378%,,
LTTS.NS,5631.7001953125,5425.16400390625,5436.8124889026985,4747.083162841797,5433.635899219181,4837.552201504407,14.529539559361778%,12.322010655087103%,Positive,-3.584594959042541%,3.584594959042541%,,
LICHSGFIN.NS,651.3499755859375,618.6659936523438,628.6624977805398,500.976180267334,615.5436235801405,519.5894892478295,25.487502708226373%,18.467297033128318%,Positive,-3.6088486088314014%,3.6088486088314014%,,
MRF.NS,132923.703125,137628.720625,141279.4620028409,118811.9830078125,137377.67474545477,121582.737826826,18.910111948515386%,12.991101533776922%,Negative,5.914347888494147%,-5.914347888494147%,,
MAXHEALTH.NS,828.4000244140625,772.16,806.1568187366832,658.9064205932617,784.1676116258664,675.4286332134424,22.34769514172304%,16.099255060461935%,Positive,-2.7591661027238175%,2.7591661027238175%,,
MAZDOCK.NS,2224.25,2010.639970703125,2059.4965764825993,1977.1309045410155,2069.507382052936,1874.2265569712704,4.165918996683969%,10.419275319480976%,Positive,-7.999693973698273%,7.999693973698273%,,
MSUMI.NS,68.3499984741211,66.44,68.2897725538774,62.58243818283081,66.9293064815458,62.53755470996156,9.11970600182267%,7.0225831373682945%,Positive,-0.08819171303606267%,0.08819171303606267%,,
MPHASIS.NS,2457.300048828125,2464.150009765625,2545.9647827148438,2383.209517211914,2508.285469922929,2369.867771002878,6.829247043849304%,5.840735108249351%,Negative,3.482559322449571%,-3.482559322449571%,,
NHPC.NS,91.1500015258789,88.20599914550782,90.02972429448909,62.570890522003175,86.89322476727509,67.52581296896706,43.884358274923315%,28.681493708500387%,Positive,-1.2443415107274691%,1.2443415107274691%,,
NMDC.NS,228.0,216.35600036621094,223.16621711037376,165.83192668914796,215.86254842512992,177.82518715098303,34.57373472401304%,21.390311397142607%,Positive,-2.1660011771564593%,2.1660011771564593%,,
PATANJALI.NS,1350.3499755859375,1412.5011181640625,1493.6253051757812,1391.2540161132813,1454.8602143622793,1380.0922159957074,7.358202591105008%,5.417608874246736%,Negative,9.592454619867464%,-9.592454619867464%,,
PERSISTENT.NS,3956.85009765625,4070.078984375,4174.8363481001425,3242.3917602539063,4047.972933415268,3418.1802207185374,28.75792491445321%,18.424795418315938%,Negative,5.221432225555194%,-5.221432225555194%,,
PETRONET.NS,288.54998779296875,272.99800048828126,274.96591047807175,230.65185958862304,268.5056121769656,239.84800037450228,19.212527039012222%,11.94823878361166%,Positive,-4.94027688424319%,4.94027688424319%,,
PHOENIXLTD.NS,2908.449951171875,2741.03001953125,2742.5090886896305,2128.635632324219,2702.413202445307,2219.0604727192595,28.838822720219813%,21.78186379633639%,Positive,-6.050695079429288%,6.050695079429288%,,
POONAWALLA.NS,491.29998779296875,469.5139990234375,471.9647723111239,415.120865020752,470.50132652595653,418.52126740956066,13.693338995988624%,12.419932549217076%,Positive,-4.0967497186630855%,4.0967497186630855%,,
PRESTIGE.NS,1258.25,1168.05400390625,1177.361366965554,890.44232421875,1184.232149362756,953.1393696172103,32.22208052593851%,24.24543431023679%,Positive,-6.870331854265145%,6.870331854265145%,,
RVNL.NS,262.1000061035156,249.7740008544922,255.11022914539683,182.9742134475708,250.38491096442763,193.4914884869739,39.4241430738522%,29.403578897623632%,Positive,-2.739904621439175%,2.739904621439175%,,
SJVN.NS,130.6999969482422,123.05799987792969,124.42601411992854,83.45499954223632,121.36139306861793,89.74339031606416,49.0935411927681%,35.23156707273862%,Positive,-5.042340118897037%,5.042340118897037%,,
SUNTV.NS,595.75,602.3463525390625,609.8744243275036,599.6884812927246,613.9770253564193,593.1122058508842,1.6985390502784852%,3.517853670807917%,Negative,2.3159561647593736%,-2.3159561647593736%,,
SUZLON.NS,40.900001525878906,39.98199981689453,42.585227099331945,32.21224991798401,41.27449838724954,33.216056017811646,32.20196418368383%,24.260683944886967%,Negative,3.9573008957359197%,-3.9573008957359197%,,
NIACL.NS,232.5,240.1039990234375,253.50113608620384,180.33270973205566,241.1524456518046,194.4220061873219,40.5741290434022%,24.035571065684213%,Negative,8.284434701334964%,-8.284434701334964%,,
IDEA.NS,12.899999618530273,13.42400001525879,14.240909056230025,11.975499982833862,13.89020140544987,12.26888169117699,18.91703124415254%,13.214894030959904%,Negative,9.415897766113035%,-9.415897766113035%,,
YESBANK.NS,24.549999237060547,23.876000061035157,25.22159090909091,20.24625000476837,24.33571560193867,21.14565618281279,24.57413547274559%,15.086121667478752%,Negative,2.6627649082528477%,-2.6627649082528477%,,
