Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA,Declined Percentage,Positive Incline Percentage,52 Week High,52 Week Low
APOLLOTYRE.NS,468.45001220703125,488.1060009765625,505.07841006192297,436.89253784179687,487.4098055562766,443.006484321809,15.60701232320358%,10.023176365565812%,Negative,7.2520220871054555%,-7.2520220871054555%,,
APTUS.NS,328.3500061035156,326.2719982910156,339.1198002208363,300.297105178833,331.198836433992,306.6753360557811,12.928095000743866%,7.996567540648384%,Negative,3.1758081097910886%,-3.1758081097910886%,,
ACI.NS,626.5499877929688,657.79400390625,668.4860548539596,601.0296228027344,654.8856042798452,618.6785495257261,11.223478759110224%,5.852321012563815%,Negative,6.273289735288847%,-6.273289735288847%,,
ASTERDM.NS,456.75,436.95599609375,443.60340742631394,366.7740008544922,433.8716410294162,376.33676647642966,20.947342612297575%,15.288135435629831%,Positive,-2.963591431806082%,2.963591431806082%,,
ASTRAZEN.NS,5146.75,5243.84001953125,5534.295476740057,4775.339154052735,5374.665993033532,4870.326322909059,15.89324440010112%,10.355356842356908%,Negative,7.002616292694554%,-7.002616292694554%,,
AVANTIFEED.NS,528.4500122070312,509.1380041503906,514.2772750854492,440.83027969360353,503.9043583454444,449.61491553029026,16.661059544932936%,12.074653428951178%,Positive,-2.7558552182238993%,2.7558552182238993%,,
AXISBANK.NS,1059.0999755859375,1068.8679931640625,1070.3159040971236,1028.758899230957,1068.2349823933262,1027.0523571150134,4.0395281049070215%,4.009788302710746%,Negative,1.0479082360873109%,-1.0479082360873109%,,
BEML.NS,3356.550048828125,3101.035986328125,3169.6524935635653,2471.163003540039,3104.0525035396786,2552.7764245719477,28.265617809222316%,21.595157087059413%,Positive,-5.896468324022336%,5.896468324022336%,,
BLS.NS,352.8500061035156,338.27,357.1084948453036,289.8455123901367,345.09850562869235,297.19196629487624,23.206494349524316%,16.11972891833922%,Negative,1.1924915826022882%,-1.1924915826022882%,,
BSE.NS,2875.60009765625,2341.376015625,2356.2545554421163,1692.4348989868165,2366.336675319189,1808.2700273711205,39.22275869238446%,30.861908868742955%,Positive,-22.041147507370496%,22.041147507370496%,,
